kappa,bits,mode,grad_bits,seed,lr,steps,delta,rel_gap,best_rel_gap,passed_gate,w_err_inf,err_in_grid_steps,frozen_frac_tail,freeze_law_violations,shadow_sat_frac_max,threads,seconds
10.0,10,rtn,,1,0.18181818181818182,3000,0.015655577299412915,2.788357285156148e-05,2.788357285156148e-05,True,0.021936863660812378,1.4012171663343906,1.0,0,0.0,4,7.83
10.0,10,rtn,,2,0.18181818181818182,3000,0.015655577299412915,2.788357285156148e-05,2.788357285156148e-05,True,0.021936863660812378,1.4012171663343906,1.0,0,0.0,4,8.81
10.0,10,sr,,0,0.18181818181818182,3000,0.015655577299412915,6.137383044720326e-05,4.933464410588806e-05,True,0.02552846074104309,1.6306304298341274,0.682415,,0.0,4,10.03
10.0,10,sr,,1,0.18181818181818182,3000,0.015655577299412915,6.173278730930525e-05,5.1096323077246325e-05,True,0.025168180465698242,1.6076175272464752,0.682335,,0.0,4,10.08
10.0,10,sr,,2,0.18181818181818182,3000,0.015655577299412915,6.166946478040063e-05,5.097977307741122e-05,True,0.02468585968017578,1.576809287071228,0.677765,,0.0,4,9.04
10.0,10,ef,,0,0.18181818181818182,3000,0.015655577299412915,6.395106150206666e-05,6.152671529915066e-05,True,0.02040886878967285,1.3036164939403534,0.487365,,0.0,4,12.8
10.0,10,ef,,1,0.18181818181818182,3000,0.015655577299412915,6.395106150206666e-05,6.152671529915066e-05,True,0.02040886878967285,1.3036164939403534,0.487365,,0.0,4,9.47
10.0,10,ef,,2,0.18181818181818182,3000,0.015655577299412915,6.395106150206666e-05,6.152671529915066e-05,True,0.02040886878967285,1.3036164939403534,0.487365,,0.0,4,11.51
10.0,8,rtn,,0,0.18181818181818182,3000,0.06299212598425197,0.00043548263863362683,0.00043548263863362683,True,0.08756852149963379,1.3901502788066864,1.0,0,0.0,4,9.88
10.0,8,rtn,,1,0.18181818181818182,3000,0.06299212598425197,0.00043548263863362683,0.00043548263863362683,True,0.08756852149963379,1.3901502788066864,1.0,0,0.0,4,7.83
10.0,8,rtn,,2,0.18181818181818182,3000,0.06299212598425197,0.00043548263863362683,0.00043548263863362683,True,0.08756852149963379,1.3901502788066864,1.0,0,0.0,4,7.79
10.0,8,sr,,0,0.18181818181818182,3000,0.06299212598425197,0.0009857989970721512,0.0008478865031355323,True,0.11163166165351868,1.772152628749609,0.6834399999999999,,0.0,4,8.01
10.0,8,sr,,1,0.18181818181818182,3000,0.06299212598425197,0.0009514325586090448,0.0008366880709477967,True,0.10788419842720032,1.712661650031805,0.68365,,0.0,4,9.52
10.0,8,sr,,2,0.18181818181818182,3000,0.06299212598425197,0.0009784200566355736,0.0008676623319264497,True,0.093547523021698,1.4850669279694557,0.67681,,0.0,4,9.71
10.0,8,ef,,0,0.18181818181818182,3000,0.06299212598425197,0.0010811506394476928,0.0009221346538515817,False,0.08617424964904785,1.3680162131786346,0.5009,,0.0,4,10.67
10.0,8,ef,,1,0.18181818181818182,3000,0.06299212598425197,0.0010811506394476928,0.0009221346538515817,False,0.08617424964904785,1.3680162131786346,0.5009,,0.0,4,7.86
10.0,8,ef,,2,0.18181818181818182,3000,0.06299212598425197,0.0010811506394476928,0.0009221346538515817,False,0.08617424964904785,1.3680162131786346,0.5009,,0.0,4,11.46
10.0,6,rtn,,0,0.18181818181818182,3000,0.25806451612903225,0.007278961173957485,0.007278961173957485,False,0.338195264339447,1.3105066493153572,1.0,0,0.0,4,9.06
10.0,6,rtn,,1,0.18181818181818182,3000,0.25806451612903225,0.007278961173957485,0.007278961173957485,False,0.338195264339447,1.3105066493153572,1.0,0,0.0,4,7.05
10.0,6,rtn,,2,0.18181818181818182,3000,0.25806451612903225,0.007278961173957485,0.007278961173957485,False,0.338195264339447,1.3105066493153572,1.0,0,0.0,4,7.1
10.0,6,sr,,0,0.18181818181818182,3000,0.25806451612903225,0.014651173880855529,0.014067945611821401,False,0.4407525062561035,1.7079159617424011,0.6824250000000001,,0.0,4,9.78
10.0,6,sr,,1,0.18181818181818182,3000,0.25806451612903225,0.015508200323751067,0.013972472560103536,False,0.36490732431411743,1.414015881717205,0.681705,,0.0,4,8.86
10.0,6,sr,,2,0.18181818181818182,3000,0.25806451612903225,0.014429474922163612,0.01423030719959399,False,0.40487420558929443,1.568887546658516,0.6792100000000001,,0.0,4,7.93
10.0,6,ef,,0,0.18181818181818182,3000,0.25806451612903225,0.020895332029224105,0.016485678613950602,False,0.3688119947910309,1.4291464798152447,0.490025,,0.0,4,9.62
10.0,6,ef,,1,0.18181818181818182,3000,0.25806451612903225,0.020895332029224105,0.016485678613950602,False,0.3688119947910309,1.4291464798152447,0.490025,,0.0,4,11.94
